Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
.,org.example,Main,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.example.Query; org.example.UserData; org.example.Md5
.,org.example,Query,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.example.FileOperations
